Job Type,Skills Required,Year of Experience,Domain,Education Level
Research Fellows,"Aerospace & Aeronautics,Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science",12,Aerospace & Aeronautics,Masters
Research Fellows,"[""Aerospace & Aeronautics"", ""Aerodynamics"", ""Propulsion Systems"", ""CAD & Simulation"", ""Material Science""]",10,Aerospace & Aeronautics,Masters
Administrative and Support Staff,"[""Cybersecurity & Information Technology"", ""Cyber Defense"", ""Cryptography"", ""Ethical Hacking"", ""Network Security""]",8,Cybersecurity & Information Technology,Undergraduate
Scientists and Engineers,"[""Robotics & Autonomous Systems"", ""Robotics Engineering"", ""AI & Machine Learning"", ""Control Systems"", ""Sensors & Actuators""]",12,Robotics & Autonomous Systems,Masters
Technical Staff,"[""Nuclear Technology"", ""Nuclear Physics"", ""Nuclear Engineering"", ""Radiation Protection"", ""Safety Protocols""]",9,Nuclear Technology,Undergraduate
Admin and Allied Cadre,"[""Life Sciences"", ""Biomedical Engineering"", ""Physiology"", ""Biotechnology"", ""Environmental Science""]",7,Life Sciences,Masters
Research Fellows,"Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science,Flight Mechanics",12,Aerospace & Aeronautics,Masters
Scientists and Engineers,"Aerospace & Aeronautics,Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science",12,Aerospace & Aeronautics,Masters
Research Fellows,"Aerospace & Aeronautics,Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science",15,Aerospace & Aeronautics,Masters
Scientists and Engineers,"Aerospace & Aeronautics,CAD & Simulation,Material Science",12,Aerospace & Aeronautics,Masters
Administrative and Support Staff,"Cybersecurity & Information Technology,Cryptography,Network Security",5,Cybersecurity & Information Technology,Undergraduate
Research Fellows,"Robotics & Autonomous Systems,Robotics Engineering,AI & Machine Learning",8,Robotics & Autonomous Systems,Masters
Technical Staff,"Electronics & Communication,RF Engineering,Antenna Design",10,Electronics & Communication,Undergraduate
Admin and Allied Cadre,"Life Sciences,Biomedical Engineering,Physiology",4,Life Sciences,Masters
Research Fellows,"Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science,Flight Mechanics",25,Aerospace & Aeronautics,Masters
Administrative and Support Staff,"Cyber Defense,Cryptography,Ethical Hacking,Network Security,Simulation & Modeling",10,Cybersecurity & Information Technology,Undergraduate
Scientists and Engineers,"Biomedical Engineering,Physiology,Biotechnology,Environmental Science,Nutrition Science",15,Life Sciences,Masters
Technical Staff,"RF Engineering,Embedded Systems,Antenna Design,Secure Communication,Electronic Warfare",8,Electronics & Communication,Undergraduate
Research Fellows,"Nuclear Physics,Nuclear Engineering,Radiation Protection,Nuclear Weapons Design,Safety Protocols",22,Nuclear Technology,Masters
Scientists and Engineers,"Aerospace & Aeronautics,Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science",25,Aerospace & Aeronautics,Masters
Scientists and Engineers,"Aerospace & Aeronautics,Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science",12,Aerospace & Aeronautics,Masters
Scientists and Engineers,"Aerospace & Aeronautics,Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science",15,Aerospace & Aeronautics,Masters
Scientists and Engineers,"Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science,Flight Mechanics",8,Aerospace & Aeronautics,Masters
Administrative and Support Staff,"Communication,Project Management,Time Management,Leadership,Problem Solving",5,Electronics & Communication,Undergraduate
Technical Staff,"RF Engineering,Embedded Systems,Antenna Design,Secure Communication,Electronic Warfare",12,Electronics & Communication,Masters
Research Fellows,"Biomedical Engineering,Physiology,Biotechnology,Environmental Science,Nutrition Science",6,Life Sciences,Undergraduate
Admin and Allied Cadre,"Nuclear Physics,Nuclear Engineering,Radiation Protection,Nuclear Weapons Design,Safety Protocols",9,Nuclear Technology,Masters
Administrative and Support Staff,"Aerospace & Aeronautics,Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science",22,Aerospace & Aeronautics,Masters
Scientists and Engineers,"Aerospace & Aeronautics,Aerodynamics,Propulsion Systems,CAD & Simulation,Material Science",22,Aerospace & Aeronautics,Masters
Administrative and Support Staff,"Electronics & Communication,RF Engineering,Embedded Systems,Antenna Design,Secure Communication",10,Electronics & Communication,Undergraduate
Technical Staff,"Robotics & Autonomous Systems,Robotics Engineering,AI & Machine Learning,Control Systems,Sensors & Actuators",15,Robotics & Autonomous Systems,Masters
Research Fellows,"Nuclear Technology,Nuclear Physics,Nuclear Engineering,Radiation Protection,Safety Protocols",8,Nuclear Technology,Masters
Admin and Allied Cadre,"Cybersecurity & Information Technology,Cyber Defense,Cryptography,Ethical Hacking,Network Security",12,Cybersecurity & Information Technology,Undergraduate
Research Fellows,"Aerospace & Aeronautics,Propulsion Systems,CAD & Simulation,Material Science,Flight Mechanics",22,Aerospace & Aeronautics,Masters
